model,lrap,abuse_precision,abuse_recall,abuse_f1,clean_precision,clean_recall,clean_f1,tp,tn,fp,fn,abuse_r_vs_base_pp
LoRA v2 Game,0.9319,0.8802,0.8589,0.8694,0.8601,0.8932,0.8763,213,205,29,35,27.83
Full v2 Game,0.9359,0.9013,0.8468,0.8732,0.856,0.9145,0.8843,210,211,23,38,26.62
LoRA v2 Tutorial,0.9077,0.8069,0.8427,0.8245,0.8276,0.8205,0.824,209,184,50,39,26.21
Full v2 Tutorial,0.9154,0.8767,0.8024,0.8379,0.82,0.8761,0.8471,199,206,28,49,22.18
LoRA v1 Game,0.9238,0.9112,0.7863,0.8442,0.8088,0.9402,0.8696,195,215,19,53,20.57
LoRA v1 Tutorial,0.9025,0.895,0.7218,0.7991,0.7544,0.9188,0.8285,179,213,21,69,14.12
Full v1 Game,0.9114,0.9227,0.7218,0.81,0.7739,0.9359,0.8472,179,219,15,69,14.12
Full v1 Tutorial,0.8921,0.9101,0.6532,0.7606,0.7372,0.9231,0.8197,162,218,16,86,7.26
Baseline,0.8869,0.973,0.5806,0.7273,0.7028,0.9701,0.8151,144,230,4,104,0.0
