model,lrap,abuse_precision,abuse_recall,abuse_f1,clean_precision,clean_recall,clean_f1,abuse_r_diff,abuse_r_pct,abuse_f1_diff,lrap_diff
Full v2 Tutorial,0.9434,0.9358,0.8793,0.9067,0.8442,0.9155,0.8784,0.2327,36.0,0.1295,0.0566
LoRA v2 Game,0.9207,0.8793,0.8793,0.8793,0.7867,0.831,0.8082,0.2327,36.0,0.1021,0.0339
LoRA v2 Tutorial,0.9244,0.8947,0.8793,0.887,0.8,0.8451,0.8219,0.2327,36.0,0.1098,0.0376
Full v2 Game,0.9296,0.9099,0.8707,0.8899,0.8026,0.8592,0.8299,0.2241,34.7,0.1127,0.0428
LoRA v1 Game,0.8917,0.8911,0.7759,0.8295,0.6923,0.8873,0.7778,0.1293,20.0,0.0523,0.0049
LoRA v1 Tutorial,0.8984,0.9348,0.7414,0.8269,0.6915,0.9155,0.7879,0.0948,14.7,0.0497,0.0116
Full v1 Game,0.8966,0.9247,0.7414,0.823,0.6774,0.8873,0.7683,0.0948,14.7,0.0458,0.0098
Full v1 Tutorial,0.8939,0.9529,0.6983,0.806,0.67,0.9437,0.7836,0.0517,8.0,0.0288,0.0071
Baseline (kor_unsmile),0.8868,0.974,0.6466,0.7772,0.6449,0.9718,0.7753,0.0,0.0,0.0,0.0
