model,lrap,ap,auroc,abuse_precision,abuse_recall,abuse_f1,clean_precision,clean_recall,clean_f1,tp,tn,fp,fn,abuse_r_vs_base_pp
LoRA v2 Game,0.9319,96.04,94.8,0.879,0.879,0.879,0.8718,0.8718,0.8718,218,204,30,30,27.82
LoRA v2 Tutorial,0.9077,93.03,91.45,0.8045,0.8629,0.8327,0.8426,0.7778,0.8089,214,182,52,34,26.21
Full v2 Game,0.9359,96.21,95.22,0.9021,0.8548,0.8778,0.8543,0.9017,0.8773,212,211,23,36,25.4
Full v2 Tutorial,0.9154,94.8,93.82,0.8755,0.8226,0.8482,0.8233,0.8761,0.8489,204,205,29,44,22.18
LoRA v1 Game,0.9238,94.59,93.05,0.9128,0.8024,0.8541,0.8144,0.9188,0.8635,199,215,19,49,20.16
LoRA v1 Tutorial,0.9025,92.1,89.98,0.8852,0.746,0.8096,0.7692,0.8974,0.8284,185,210,24,63,14.52
Full v1 Game,0.9114,93.64,91.61,0.9239,0.7339,0.818,0.7684,0.9359,0.8439,182,219,15,66,13.31
Full v1 Tutorial,0.8921,91.14,89.7,0.9032,0.6774,0.7742,0.7297,0.9231,0.8151,168,216,18,80,7.66
Baseline,0.8869,91.94,89.37,0.9613,0.6008,0.7395,0.6972,0.9744,0.8128,149,228,6,99,0.0
