label,timestamp,d4to5,d4to8,d4to12,d4to15,d4to16,d4to19,d4to20,m4_8,m4_12,m4_16,m4_20,m8_4,m8_12,m8_16,m8_20,m12_4,m12_8,m12_16,m12_20,m16_4,m16_8,m16_12,m16_20,m20_4,m20_8,m20_12,m20_16,thumb_ext,index_ext,middle_ext,ring_ext,pinky_ext
왼볼 구부린 콕,오후 2:30:16,0.5907,0.5792,0.2673,0.2890,0.3656,0.3957,0.4595,0.5792,0.2673,0.3656,0.4595,0.5792,0.7573,0.8574,0.9625,0.2673,0.7573,0.1043,0.2152,0.3656,0.8574,0.1043,0.1232,0.4595,0.9625,0.2152,0.1232,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:17,0.6139,0.6293,0.2293,0.2639,0.3254,0.3866,0.4343,0.6293,0.2293,0.3254,0.4343,0.6293,0.7790,0.8924,1.0036,0.2293,0.7790,0.1140,0.2395,0.3254,0.8924,0.1140,0.1355,0.4343,1.0036,0.2395,0.1355,1,0,0,0,0
왼볼 구부린 콕,오후 2:30:22,0.4992,0.5348,0.3430,0.4092,0.4879,0.5235,0.5945,0.5348,0.3430,0.4879,0.5945,0.5348,0.8352,0.9767,1.0806,0.3430,0.8352,0.1516,0.2568,0.4879,0.9767,0.1516,0.1068,0.5945,1.0806,0.2568,0.1068,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:22,0.5086,0.5463,0.3429,0.3969,0.4761,0.5072,0.5826,0.5463,0.3429,0.4761,0.5826,0.5463,0.8374,0.9686,1.0749,0.3429,0.8374,0.1377,0.2441,0.4761,0.9686,0.1377,0.1079,0.5826,1.0749,0.2441,0.1079,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:23,0.5104,0.5607,0.3279,0.3768,0.4563,0.4577,0.5293,0.5607,0.3279,0.4563,0.5293,0.5607,0.8327,0.9577,1.0254,0.3279,0.8327,0.1301,0.2025,0.4563,0.9577,0.1301,0.0752,0.5293,1.0254,0.2025,0.0752,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:24,0.4912,0.5548,0.3223,0.3807,0.4561,0.4613,0.5309,0.5548,0.3223,0.4561,0.5309,0.5548,0.8314,0.9594,1.0285,0.3223,0.8314,0.1345,0.2089,0.4561,0.9594,0.1345,0.0767,0.5309,1.0285,0.2089,0.0767,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:25,0.5278,0.5680,0.2825,0.3398,0.4244,0.4354,0.5133,0.5680,0.2825,0.4244,0.5133,0.5680,0.7729,0.9115,1.0000,0.2825,0.7729,0.1457,0.2373,0.4244,0.9115,0.1457,0.0930,0.5133,1.0000,0.2373,0.0930,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:28,0.4787,0.4134,0.3172,0.3794,0.4593,0.5138,0.5807,0.4134,0.3172,0.4593,0.5807,0.4134,0.7077,0.8564,0.9742,0.3172,0.7077,0.1506,0.2675,0.4593,0.8564,0.1506,0.1220,0.5807,0.9742,0.2675,0.1220,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:29,0.4811,0.4057,0.3064,0.3606,0.4411,0.4929,0.5573,0.4057,0.3064,0.4411,0.5573,0.4057,0.6819,0.8210,0.9341,0.3064,0.6819,0.1411,0.2542,0.4411,0.8210,0.1411,0.1169,0.5573,0.9341,0.2542,0.1169,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:30,0.4314,0.4035,0.3527,0.4043,0.4763,0.5340,0.5937,0.4035,0.3527,0.4763,0.5937,0.4035,0.7352,0.8614,0.9757,0.3527,0.7352,0.1280,0.2421,0.4763,0.8614,0.1280,0.1190,0.5937,0.9757,0.2421,0.1190,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:30,0.4846,0.4116,0.2867,0.3192,0.3998,0.4046,0.4739,0.4116,0.2867,0.3998,0.4739,0.4116,0.6654,0.7861,0.8579,0.2867,0.6654,0.1209,0.1940,0.3998,0.7861,0.1209,0.0790,0.4739,0.8579,0.1940,0.0790,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:31,0.5080,0.5323,0.2061,0.2296,0.3126,0.3376,0.4082,0.5323,0.2061,0.3126,0.4082,0.5323,0.7083,0.8181,0.9127,0.2061,0.7083,0.1123,0.2066,0.3126,0.8181,0.1123,0.0986,0.4082,0.9127,0.2066,0.0986,1,1,0,0,0
왼볼 구부린 콕,오후 2:30:32,0.4526,0.4342,0.2216,0.2446,0.3294,0.3663,0.4344,0.4342,0.2216,0.3294,0.4344,0.4342,0.6435,0.7521,0.8503,0.2216,0.6435,0.1107,0.2138,0.3294,0.7521,0.1107,0.1075,0.4344,0.8503,0.2138,0.1075,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:32,0.4998,0.3240,0.2917,0.2944,0.3941,0.4111,0.4911,0.3240,0.2917,0.3941,0.4911,0.3240,0.6114,0.7152,0.8094,0.2917,0.6114,0.1096,0.2025,0.3941,0.7152,0.1096,0.1013,0.4911,0.8094,0.2025,0.1013,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:32,0.4377,0.3616,0.2709,0.2976,0.3781,0.4099,0.4701,0.3616,0.2709,0.3781,0.4701,0.3616,0.6194,0.7293,0.8148,0.2709,0.6194,0.1099,0.1993,0.3781,0.7293,0.1099,0.0968,0.4701,0.8148,0.1993,0.0968,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:34,0.4414,0.3272,0.2890,0.3297,0.4056,0.4193,0.4797,0.3272,0.2890,0.4056,0.4797,0.3272,0.5919,0.7109,0.7801,0.2890,0.5919,0.1193,0.1914,0.4056,0.7109,0.1193,0.0781,0.4797,0.7801,0.1914,0.0781,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:34,0.4646,0.3176,0.3085,0.3235,0.4150,0.4149,0.4873,0.3176,0.3085,0.4150,0.4873,0.3176,0.6062,0.7160,0.7809,0.3085,0.6062,0.1103,0.1790,0.4150,0.7160,0.1103,0.0791,0.4873,0.7809,0.1790,0.0791,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:35,0.4793,0.3924,0.3074,0.3160,0.4127,0.4192,0.4939,0.3924,0.3074,0.4127,0.4939,0.3924,0.6899,0.7942,0.8718,0.3074,0.6899,0.1064,0.1872,0.4127,0.7942,0.1064,0.0892,0.4939,0.8718,0.1872,0.0892,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:36,0.4577,0.3147,0.3381,0.3423,0.4384,0.4277,0.5038,0.3147,0.3381,0.4384,0.5038,0.3147,0.6433,0.7448,0.8059,0.3381,0.6433,0.1017,0.1660,0.4384,0.7448,0.1017,0.0723,0.5038,0.8059,0.1660,0.0723,0,0,0,0,0
왼볼 구부린 콕,오후 2:30:37,0.4547,0.3230,0.3447,0.3540,0.4450,0.4408,0.5136,0.3230,0.3447,0.4450,0.5136,0.3230,0.6547,0.7577,0.8214,0.3447,0.6547,0.1041,0.1695,0.4450,0.7577,0.1041,0.0744,0.5136,0.8214,0.1695,0.0744,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:38,0.4728,0.3526,0.3382,0.3319,0.4325,0.4119,0.4931,0.3526,0.3382,0.4325,0.4931,0.3526,0.6791,0.7760,0.8331,0.3382,0.6791,0.0974,0.1562,0.4325,0.7760,0.0974,0.0679,0.4931,0.8331,0.1562,0.0679,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:39,0.4701,0.3226,0.3024,0.3064,0.3982,0.3991,0.4748,0.3226,0.3024,0.3982,0.4748,0.3226,0.6129,0.7112,0.7832,0.3024,0.6129,0.1001,0.1731,0.3982,0.7112,0.1001,0.0804,0.4748,0.7832,0.1731,0.0804,0,1,0,0,0
왼볼 구부린 콕,오후 2:30:39,0.4599,0.4091,0.2983,0.2866,0.3877,0.3543,0.4351,0.4091,0.2983,0.3877,0.4351,0.4091,0.6960,0.7878,0.8325,0.2983,0.6960,0.0925,0.1378,0.3877,0.7878,0.0925,0.0551,0.4351,0.8325,0.1378,0.0551,0,1,0,0,0
